distance,0.8,0.6,0.4,0.2,name,,,,,,,
3.3,0.000668,0.000784,0.001752,0.007543,splane,,,,,,,
3.52,0.000474,0.000396,0.001466,0.00665,splane,,,,,,,
3.74,0.001246,0.001219,0.002069,0.006216,splane,,,,,,,
3.96,0.000923,0.001093,0.002177,0.006218,splane,,,,,,,
4.18,0.000654,0.000643,0.00126,0.006145,splane,,,,,,,
4.4,0.000261,0.000294,0.001504,0.005259,splane,,,,,,,
4.62,0.000368,0.000286,0.000791,0.00509,splane,,,,,,,
4.84,0.000464,0.000455,0.001298,0.00516,splane,,,,,,,
5.06,0.000261,0.000225,0.00116,0.005104,splane,,,,,,,
5.28,0.000171,0.000197,0.001032,0.005266,splane,,,,,,,
5.5,0.000277,0.000198,0.00078,0.004835,splane,,,,,,,
5.72,0.000222,0.00019,0.000853,0.004809,splane,,,,,,,
5.94,0.000441,0.000367,0.000894,0.00504,splane,,,,,,,
6.16,0.000304,0.000297,0.001036,0.005334,splane,,,,,,,
6.38,0.00052,0.000556,0.000826,0.004406,splane,,,,,,,
2.52,0.038945,0.153237,0.217099,0.256244,ATV,,,,,,,
5.05,0.013259,0.076185,0.122388,0.133475,ATV,,,,,,,
7.57,0.007139,0.052627,0.085486,0.087787,ATV,,,,,,,
10.1,0.004957,0.040156,0.065895,0.063838,ATV,,,,,,,
12.62,0.00354,0.031886,0.053367,0.049002,ATV,,,,,,,
15.14,0.0025,0.027212,0.045207,0.039861,ATV,,,,,,,
17.67,0.001944,0.024495,0.039866,0.033823,ATV,,,,,,,
20.19,0.001752,0.0208,0.034577,0.027379,ATV,,,,,,,
22.72,0.002022,0.01924,0.031927,0.02458,ATV,,,,,,,
25.24,0.001959,0.017393,0.028619,0.02213,ATV,,,,,,,
27.76,0.002207,0.017053,0.027735,0.020208,ATV,,,,,,,
30.29,0.001555,0.015295,0.025312,0.017641,ATV,,,,,,,
32.81,0.002868,0.014306,0.02244,0.016391,ATV,,,,,,,
35.34,0.001355,0.013368,0.022693,0.016364,ATV,,,,,,,
37.86,0.001756,0.011751,0.019856,0.013692,ATV,,,,,,,
40.38,0.001218,0.011716,0.019727,0.013681,ATV,,,,,,,
42.91,0.001335,0.01095,0.019439,0.012737,ATV,,,,,,,
45.43,0.000832,0.009427,0.017153,0.012064,ATV,,,,,,,
47.96,0.001886,0.009972,0.017455,0.012683,ATV,,,,,,,
50.48,0.001014,0.010114,0.016482,0.01163,ATV,,,,,,,
53.01,0.000909,0.008964,0.015629,0.011436,ATV,,,,,,,
55.53,0.0011,0.00812,0.014697,0.009987,ATV,,,,,,,
58.05,0.001571,0.00761,0.014069,0.008926,ATV,,,,,,,
60.58,0.002029,0.007867,0.013447,0.009135,ATV,,,,,,,
3.12,0.004029,0.004358,0.005791,0.118544,tree,,,,,,,
6.24,0.001306,0.001621,0.001956,0.050423,tree,,,,,,,
